State,County,TotalPopulation,MedianHouseholdIncome,IncomePerCapita,PovertyRate,EmployedPersons,ProfessionalOccupationRate,ServiceOccupationRate,DrivingCommuteRate,WorkFromHomeRate,CrimeRate2016,ChildPovertyRate,UrbanizationLevel,MajorPoliticalParty2020,CostOfLiving,GoodAirQuality
Wisconsin,Racine,195101,58334,29582,11.9,93603,32.4,17.1,84.1,3.4,21.0,17.9,4,0,75106.41,0.8789
Tennessee,Rhea,32478,39368,22031,21.9,13341,26.4,18.6,79.9,3.5,21.0,31.4,7,1,61144.67,0.8490000000000001
Ohio,Portage,162080,53816,27985,14.5,82049,32.2,18.4,84.1,4.8,12.0,18.7,7,0,71404.46,0.8789
West Virginia,Pleasants,7527,45152,24605,16.6,2994,27.7,18.5,89.1,2.3,5.0,25.9,7,1,72141.76,0.895
Wyoming,Goshen,13479,48422,27253,13.2,6122,34.0,21.0,79.1,6.6,15.0,19.5,11,1,81332.52,0.8985
Montana,Golden Valley,747,43854,25110,18.2,351,37.6,14.2,57.2,16.1,2.0,29.4,11,1,68004.37,0.9523999999999999
Kentucky,Caldwell,12747,46182,25272,17.5,5330,29.2,13.2,81.1,1.2,26.0,22.4,9,1,66617.05,0.8538
Texas,Hartley,5821,64427,20676,8.1,2049,38.0,14.1,84.0,4.7,30.0,11.4,11,1,66852.42,0.7533
Georgia,Gilmer,29614,46211,23688,18.8,12120,26.1,22.5,75.2,4.8,10.0,35.4,8,1,73296.65,0.895
Wisconsin,Waushara,24170,48412,25838,11.1,10435,25.2,17.7,79.8,5.4,13.0,16.3,10,0,70582.8,0.8789
North Carolina,Wake,1023811,73577,37315,10.1,536376,50.1,13.8,79.5,8.2,8.0,13.4,1,0,82908.07,0.8812000000000001
Georgia,Bulloch,73742,39305,20526,30.4,32662,32.9,21.8,79.2,4.5,24.0,32.6,7,0,61950.17,0.833
Florida,Gadsden,46113,39830,19252,24.4,16338,31.2,20.6,84.5,2.3,14.0,40.8,6,1,65978.52,0.8542000000000001
Louisiana,Iberville,33122,47128,22252,19.3,12825,26.9,22.1,85.2,1.8,43.0,28.9,9,1,70223.87,0.8376
Oregon,Josephine,84514,40705,24349,18.6,30300,30.2,21.9,81.0,5.6,31.0,25.4,2,0,87035.28,0.8698
Nevada,Washoe,445551,58595,31879,13.3,219548,33.8,20.9,77.8,4.3,28.0,16.9,11,0,81642.81,0.8120999999999999
Missouri,Moniteau,15904,50897,21305,11.9,6715,29.0,15.5,79.9,2.9,10.0,17.4,10,1,68118.07,0.831
Minnesota,Swift,9448,49556,29470,12.2,4751,30.0,14.9,76.9,5.5,5.0,17.5,11,0,64425.87,0.9309000000000001
Ohio,Cuyahoga,1257401,46720,30441,18.3,587730,39.6,18.3,79.8,4.0,33.0,26.9,3,1,66327.7,0.8283
Illinois,Kane,529402,74862,33486,10.4,262971,34.6,16.7,80.5,5.0,13.0,15.9,11,1,79487.16,0.7291
Wisconsin,Calumet,49737,70662,32713,5.9,27483,34.9,12.4,86.7,4.2,10.0,8.4,10,0,71886.51,0.8789
South Dakota,Hanson,3404,62448,24805,6.5,1638,35.8,14.7,80.0,7.7,3.0,5.7,10,1,71134.64,0.9209
Texas,Gaines,19889,58167,22656,11.0,8134,28.6,11.8,74.9,2.1,12.0,11.6,8,1,63417.29,0.7533
Minnesota,Lac qui Parle,6840,50195,31427,9.3,3458,37.3,17.2,75.9,9.7,7.0,10.5,11,0,66073.39,0.9309000000000001
Massachusetts,Berkshire,127751,55190,33245,11.3,63947,37.7,21.5,77.8,5.6,22.0,15.0,10,0,86527.33,0.8976000000000001
Idaho,Canyon,207027,46426,19765,17.1,88055,26.5,19.2,78.1,6.6,19.0,21.1,4,1,73151.85,0.8817
Texas,Lampasas,20473,54467,26405,12.0,8612,32.4,20.4,76.5,2.7,22.0,14.9,11,1,64021.87,0.7533
Louisiana,Catahoula,10044,34470,20717,21.8,3671,32.0,19.4,91.3,0.6,18.0,31.9,11,1,65775.43,0.8376
North Carolina,Bladen,34130,32396,20839,24.5,13263,25.2,20.5,85.7,2.8,3.0,34.9,10,0,67154.49,0.8812000000000001
New York,Seneca,34843,51601,26541,11.8,15488,33.0,17.6,79.8,4.0,19.0,14.2,7,0,71229.61,0.8998999999999999
Georgia,Quitman,2140,26750,18921,22.8,729,13.7,18.7,73.0,1.9,18.0,46.1,7,0,61656.58,0.833
Idaho,Latah,38697,43310,24166,22.5,19118,43.8,17.4,66.6,4.1,17.0,20.0,7,1,68345.54,0.8817
Tennessee,Fentress,17940,32616,18171,23.0,6577,21.2,25.4,80.4,5.7,17.0,28.4,11,1,59650.6,0.8490000000000001
Arizona,Yuma,204281,43253,20600,19.7,74891,24.9,23.0,80.7,3.0,3.0,28.2,8,0,67536.52,0.7382
District of Columbia,District of Columbia,672391,77649,50832,17.4,357701,61.7,15.3,34.0,5.7,61.0,25.5,0,0,120289.64,0.7182999999999999
North Dakota,Kidder,2457,60225,34455,6.9,1276,37.6,16.5,57.3,10.8,9.0,7.0,11,1,67271.08,0.9523999999999999
Virginia,Bristol city,17077,37844,21589,21.3,7139,35.6,18.6,80.1,2.9,28.0,36.1,5,0,67152.23,0.9376000000000001
Kansas,Ellsworth,6331,48550,24102,11.4,2730,34.1,20.8,77.2,4.8,10.0,14.4,11,1,64982.74,0.7967
California,Solano,434981,72950,31934,11.5,196309,32.7,20.4,76.6,4.1,31.0,16.6,4,0,95069.76,0.6846
Alabama,Wilcox,10919,27012,15774,31.9,2901,24.4,21.0,88.8,2.4,18.0,41.9,11,0,60633.3,0.833
Virginia,Amelia,12802,58535,26118,13.0,6166,25.8,18.6,86.7,2.7,11.0,18.9,10,0,75778.6,0.9376000000000001
Florida,Santa Rosa,166778,62731,28908,11.3,70810,37.7,15.9,83.2,5.1,11.0,16.1,9,1,75590.92,0.8542000000000001
Florida,Levy,39713,36554,21043,21.9,14623,23.3,23.7,80.6,5.9,26.0,35.6,10,1,63764.63,0.8542000000000001
Oklahoma,Kingfisher,15510,62829,31885,8.9,7046,36.1,14.4,86.7,5.9,11.0,13.6,10,1,72706.36,0.7243999999999999
Minnesota,Pipestone,9229,48909,28706,11.8,4328,30.3,15.2,75.2,6.6,7.0,16.0,7,0,65982.45,0.9309000000000001
Oklahoma,Coal,5666,39931,24004,20.3,2243,34.1,17.7,79.9,3.5,12.0,28.9,11,1,70185.09,0.7243999999999999
Alabama,Franklin,31507,39501,19314,23.0,12534,24.4,13.9,84.9,1.9,13.0,42.0,8,1,62434.93,0.7533
Virginia,Powhatan,28364,80441,33807,5.5,12939,41.3,14.6,83.9,7.9,7.0,5.0,10,0,80989.78,0.9376000000000001
Virginia,Albemarle,105105,72265,39273,9.8,50689,54.0,15.5,76.9,7.6,14.0,11.0,9,0,90203.19,0.9376000000000001
Illinois,Edwards,6570,49632,26549,11.5,3136,25.1,13.9,84.9,4.3,15.0,18.5,11,1,61592.67,0.7533
California,Tulare,458809,44871,18962,27.1,173820,25.0,18.1,78.0,3.1,28.0,36.2,5,0,71063.4,0.6846
Kentucky,Calloway,38616,39269,21757,22.4,17382,31.1,20.0,77.1,3.5,27.0,24.2,8,1,71612.19,0.8538
Washington,Pacific,20940,39895,23050,18.6,6916,27.7,21.2,74.8,5.8,13.0,24.8,8,0,77055.33,0.9289000000000001
Wisconsin,Burnett,15239,45891,26308,14.6,6535,29.1,20.4,78.4,7.0,24.0,21.3,11,0,72123.95,0.8789
Arkansas,Ashley,20771,36407,20703,21.3,7905,27.5,16.8,85.1,1.6,31.0,32.4,11,1,60000.25,0.8842
Maryland,Allegany,72591,42771,22355,16.8,28738,29.9,23.4,82.5,1.7,12.0,22.9,10,0,69914.07,0.8998999999999999
Nebraska,Richardson,8045,46839,28109,16.3,3954,33.5,16.8,83.2,4.3,8.0,29.1,11,1,74485.5,0.9346
Idaho,Cassia,23472,48162,20007,14.7,9889,27.1,14.1,79.1,3.4,16.0,18.2,8,1,67857.36,0.8817
Maryland,Prince George's,905161,78607,34391,9.3,476889,38.7,20.6,66.5,2.8,26.0,12.8,3,0,86111.53,0.8548
California,Mariposa,17658,51385,28241,15.1,7009,30.5,32.7,62.1,9.2,19.0,17.5,11,0,76571.78,0.6846
Iowa,Emmet,9661,47419,29396,13.8,4894,31.4,16.7,77.8,7.0,19.0,18.5,11,1,66633.82,0.8771
Indiana,Wells,27832,53038,25850,11.0,13703,27.3,15.9,88.8,4.1,11.0,15.5,11,1,66502.84,0.9523999999999999
Wisconsin,La Crosse,117582,54127,29495,14.4,62589,36.6,19.9,81.2,3.2,29.0,11.9,2,0,77765.15,0.8789
Illinois,Whiteside,56823,51969,28188,11.1,26553,26.3,19.0,84.0,2.8,18.0,15.4,7,0,68201.58,0.802
California,Contra Costa,1123678,88456,42898,9.8,535401,43.0,18.0,68.1,6.3,29.0,12.4,3,0,118776.18,0.6846
Kansas,Greenwood,6227,41648,24837,12.4,2773,28.4,19.5,83.7,4.0,17.0,15.7,11,1,65490.61,0.7967
Georgia,Glascock,3027,45273,19815,11.5,1307,32.4,10.9,85.7,2.9,7.0,9.2,11,0,61064.36,0.833
Idaho,Power,7667,47602,21513,11.6,2993,25.5,13.3,79.8,7.7,14.0,18.7,7,1,68122.21,0.8817
Georgia,Bryan,34883,68589,29880,14.1,15250,37.6,17.0,85.3,2.6,14.0,17.0,10,0,82005.75,0.833
Florida,Citrus,141373,40574,25034,17.4,45294,28.2,23.5,81.7,5.8,14.0,30.6,5,1,68253.03,0.8542000000000001
North Carolina,Carteret,68699,51584,30903,12.5,30098,35.1,20.3,79.5,5.0,15.0,18.0,7,0,75490.86,0.8812000000000001
Wisconsin,Green Lake,18745,50276,26372,11.4,8961,27.5,14.4,80.8,5.5,11.0,15.9,10,0,68048.17,0.8789
Texas,Galveston,321184,65702,33870,13.9,149076,41.1,17.6,80.9,3.7,27.0,19.7,4,1,72605.19,0.7533
Georgia,Forsyth,211300,96445,39896,6.5,103649,51.1,11.3,77.6,10.9,7.0,7.7,3,0,87814.02,0.833
Nebraska,Colfax,10616,54876,23393,8.2,5305,24.5,8.9,69.9,6.6,3.0,9.2,11,1,71419.92,0.9346
Georgia,Stephens,25625,39756,21657,18.1,10114,28.4,20.4,85.7,4.0,19.0,24.6,8,1,62141.0,0.7533
Minnesota,Itasca,45237,52050,27497,12.6,20287,31.7,19.9,81.8,4.4,10.0,18.6,9,0,65697.82,0.9309000000000001
Ohio,Sandusky,59559,50370,25219,13.6,28434,25.3,16.7,85.7,2.8,24.0,19.2,7,1,60023.13,0.8283
Georgia,Treutlen,6752,39375,20775,21.0,2663,23.2,24.1,75.1,2.2,9.0,34.1,9,0,61182.55,0.833
Indiana,Jennings,27840,48362,22901,13.9,13028,21.1,17.9,83.6,3.1,22.0,19.2,10,1,65260.55,0.8453
Nebraska,Hayes,957,44946,27183,9.0,502,42.8,13.7,75.8,9.0,8.0,5.2,11,1,80031.04,0.9346
Georgia,Screven,14037,36556,20255,22.6,5631,27.8,16.0,84.8,2.8,20.0,36.4,9,0,60716.0,0.833
North Carolina,Alamance,157844,44281,25157,17.6,73906,33.0,17.4,85.1,2.9,25.0,26.1,2,0,68124.34,0.8812000000000001
Colorado,Routt,24359,67472,38111,10.7,14555,34.2,24.3,68.3,9.2,16.0,11.5,11,0,88074.91,0.7382
Colorado,La Plata,54469,62533,34501,9.6,29184,40.1,18.4,73.8,6.8,21.0,9.0,7,0,81391.73,0.7382
Indiana,Elkhart,202924,52449,23817,13.8,94516,25.5,14.2,77.6,3.5,22.0,19.3,2,1,71092.78,0.8453
Tennessee,Loudon,51024,55431,30177,13.7,20363,27.4,19.8,83.7,4.8,18.0,25.0,9,1,65364.69,0.8490000000000001
Utah,Cache,120288,53812,21752,15.2,56905,37.9,15.6,74.5,5.2,11.0,14.2,2,1,69758.87,0.7291
California,Sierra,2885,44190,31750,12.3,1149,30.2,18.3,66.5,18.1,30.0,10.6,11,0,62869.3,0.6834
Oklahoma,Woodward,21140,57602,27413,11.7,9313,26.3,14.8,86.1,2.6,25.0,14.9,11,1,76429.73,0.7243999999999999
Virginia,Poquoson city,12022,88328,39305,4.9,5908,50.1,11.7,87.1,5.2,15.0,4.8,3,0,85127.81,0.9376000000000001
Iowa,Chickasaw,12140,50688,27973,8.9,6269,30.4,15.6,78.9,6.9,6.0,11.3,10,1,66531.79,0.8771
Oklahoma,Love,9843,49409,20965,12.2,3982,24.2,22.9,78.1,5.8,11.0,15.9,10,1,69902.87,0.7243999999999999
Georgia,Telfair,16339,28044,13594,27.7,4823,24.5,19.2,88.0,3.1,14.0,40.4,8,0,58576.05,0.833
Florida,Glades,13197,37385,20476,18.0,4052,27.8,16.0,75.8,5.3,13.0,26.9,9,1,71220.1,0.8542000000000001
Georgia,Bartow,102623,52393,24931,14.2,46890,29.9,16.6,81.9,5.3,34.0,19.1,9,0,70937.07,0.833
Florida,Gulf,16018,44647,21085,14.9,5896,29.4,28.0,71.1,6.5,18.0,19.6,9,1,69397.43,0.8542000000000001
Wyoming,Laramie,97031,62879,31554,10.4,47243,37.1,16.4,81.8,3.8,32.0,12.1,10,1,81932.74,0.8985
Oklahoma,Roger Mills,3734,51286,27797,18.4,1696,29.6,13.5,79.0,8.6,18.0,29.1,11,1,71827.48,0.7243999999999999
Arkansas,Independence,37097,39945,23056,18.5,15305,29.6,17.1,81.4,3.2,26.0,27.8,8,1,58757.07,0.8842
Illinois,Winnebago,287512,51110,27297,15.3,132190,30.8,17.8,83.6,3.5,4.0,23.4,11,1,65633.26,0.8771
Iowa,Plymouth,25027,61316,30686,9.1,13100,31.8,16.2,81.8,5.5,11.0,14.9,7,1,69562.27,0.8771
Georgia,Banks,18363,42182,19451,14.3,7796,24.8,17.0,80.6,4.4,28.0,17.9,7,0,62087.57,0.833
Kentucky,Laurel,59901,37235,20446,24.6,22550,25.4,15.6,86.2,2.8,14.0,36.2,8,1,59820.41,0.8538
Michigan,Iron,11291,36773,23658,14.2,4376,23.3,23.5,80.2,6.0,19.0,23.7,11,0,73991.07,0.8789
Alaska,Bethel Census Area,17957,53853,18654,27.0,6075,36.2,19.7,24.9,4.1,20.0,33.2,11,1,94170.88,0.8786
Kentucky,Powell,12349,34647,19302,24.1,4615,21.1,15.9,76.4,1.0,23.0,29.8,11,1,70855.88,0.9152
Michigan,Keweenaw,2136,41118,28700,14.5,856,33.6,32.0,76.3,7.9,14.0,23.2,11,0,73114.98,0.8067
Kentucky,Harlan,27548,24451,15457,35.6,7555,27.0,21.9,83.4,1.8,0.0,44.5,11,1,78936.65,0.9346
North Dakota,Sargent,3883,60824,36207,4.3,2124,30.2,12.1,73.5,8.5,5.0,3.7,11,1,66365.89,0.9523999999999999
Virginia,Amherst,31819,49677,24296,13.4,14506,27.9,20.3,82.6,2.6,11.0,20.6,4,0,69236.05,0.9376000000000001
Kansas,Reno,63360,47897,25267,14.0,29785,31.4,19.1,82.4,3.4,41.0,20.2,10,1,64271.06,0.7967
Louisiana,St. Helena,10509,35254,21148,26.4,3652,29.1,19.5,82.5,6.2,16.0,38.2,10,1,68967.14,0.8376
Montana,Broadwater,5755,55295,32268,7.8,2621,36.4,17.6,74.3,8.2,8.0,4.0,11,1,75321.77,0.9152
Nebraska,Hooker,684,41607,27714,17.4,304,38.8,23.0,65.6,9.4,3.0,24.3,11,1,80408.24,0.9346
Texas,Hudspeth,3702,26346,12543,35.6,1083,17.8,38.4,78.9,9.8,5.0,51.5,11,1,64168.04,0.7533
Virginia,Williamsburg city,14817,54606,26921,21.5,6235,47.2,23.1,60.6,6.6,25.0,14.0,5,0,82897.39,0.9376000000000001
Louisiana,Caddo,251069,40391,25565,23.4,105583,33.1,21.5,86.4,2.4,24.0,35.7,10,1,71560.55,0.7243999999999999
Texas,Somervell,8650,52346,27095,21.5,3671,34.8,14.4,78.9,1.4,9.0,34.4,10,1,68669.1,0.7533
North Carolina,Pender,57630,49357,25997,15.8,24768,32.0,18.7,81.3,4.6,19.0,18.5,10,0,75342.41,0.8812000000000001
Alabama,Dallas,40755,30065,18248,31.9,14461,26.7,18.2,86.6,1.2,38.0,49.5,11,1,60233.5,0.8842
Maryland,Baltimore city,619796,46641,28488,22.4,277954,42.1,20.7,60.0,3.8,73.0,32.9,0,0,70955.47,0.8548
Alabama,Walker,64927,38872,21217,21.5,24280,26.3,17.7,85.8,1.4,16.0,31.4,10,1,64887.71,0.7533
Iowa,Palo Alto,9110,50470,27902,7.1,4819,33.3,19.6,78.6,2.7,10.0,10.6,11,1,64786.47,0.8771
North Dakota,Dunn,4349,68594,42438,10.6,2080,34.5,16.2,70.4,11.1,11.0,7.6,11,1,76159.35,0.9523999999999999
Nebraska,Nance,3569,45428,26852,11.7,1792,35.3,14.3,80.9,5.6,0.0,9.1,11,1,72897.99,0.9346
Kansas,Stanton,2107,42222,21062,10.8,999,40.1,12.5,76.4,5.8,8.0,10.7,10,1,83869.01,0.9346
Georgia,Heard,11607,44897,20946,17.4,4797,23.6,17.8,86.1,1.0,16.0,23.6,10,0,66745.77,0.833
North Carolina,Edgecombe,54032,32929,18946,24.6,21693,24.1,20.4,82.5,2.1,36.0,37.0,9,0,68458.89,0.8812000000000001
Idaho,Twin Falls,82248,49118,22723,14.4,38869,29.6,18.3,82.5,3.5,18.0,17.7,8,1,70944.01,0.8817
Maryland,Charles,156021,93973,38890,6.9,78635,42.2,17.0,81.4,3.7,19.0,9.5,9,0,95591.77,0.8548
Ohio,Preble,41328,52661,25374,12.4,19437,29.0,18.9,84.2,3.0,9.0,16.6,10,1,63553.62,0.8283
West Virginia,Greenbrier,35523,40483,23777,17.8,13947,33.1,21.4,80.3,3.4,15.0,24.2,9,1,76639.9,0.895
Ohio,Ross,77125,45792,22714,18.2,30592,29.5,19.1,85.1,2.5,43.0,25.3,10,1,63477.22,0.8283
Minnesota,Rock,9433,56753,29000,11.0,4779,35.3,15.9,80.0,6.7,0.0,12.6,11,1,80476.15,0.9346
Illinois,Mercer,15794,55649,27844,11.4,7327,29.9,14.1,90.1,4.2,9.0,18.0,10,1,68585.09,0.9523999999999999
Illinois,Schuyler,7181,47321,23670,21.5,2919,27.9,21.8,80.6,4.6,9.0,17.7,11,1,68115.48,0.831
Maryland,Wicomico,102014,54493,27755,15.9,49785,32.7,20.8,83.6,3.3,34.0,20.8,2,0,71789.79,0.8548
Texas,Ochiltree,10484,50120,24157,13.0,4679,22.9,17.1,76.1,1.1,16.0,14.7,9,1,61566.27,0.7533
Illinois,Moultrie,14711,53979,26166,12.1,6993,29.0,14.2,79.0,5.9,1.0,17.8,10,0,69166.41,0.802
Oklahoma,Atoka,13899,37106,19439,19.8,4664,28.9,19.8,81.2,5.4,15.0,26.8,11,1,69977.17,0.7243999999999999
Arkansas,Bradley,10994,36310,21575,26.4,4112,25.9,16.6,82.2,4.5,20.0,42.2,8,1,59658.48,0.8842
South Carolina,Marlboro,27505,33921,16561,26.6,9731,23.2,17.5,83.7,1.8,49.0,39.1,7,1,56527.09,0.8745999999999999
Pennsylvania,Mifflin,46452,46286,23568,13.5,20884,25.2,19.4,79.2,3.8,16.0,21.4,7,0,67227.24,0.8438
North Carolina,Brunswick,122586,51164,29707,14.1,48982,29.0,21.5,79.2,6.7,7.0,23.7,9,0,65838.28,0.9376000000000001
Kansas,Stafford,4251,47121,25941,14.5,2032,35.2,18.4,76.5,5.2,13.0,19.7,11,1,65464.66,0.7967
Nebraska,Gage,21632,52223,27424,9.1,11118,33.3,15.4,78.9,4.8,24.0,10.5,10,1,73732.06,0.9346
Texas,Parker,125963,70608,33367,9.2,58626,38.3,14.0,82.8,5.1,11.0,12.7,9,1,77769.8,0.7533
Georgia,Warren,5410,32860,20712,26.8,2104,21.3,14.2,87.9,3.1,15.0,37.2,6,0,79043.45,0.9376000000000001
Florida,Hamilton,14238,36209,16109,26.6,3849,28.3,27.7,79.4,4.1,3.0,35.5,11,1,65518.4,0.7967
New York,Tioga,49322,57153,30252,11.2,23012,34.9,20.1,83.6,2.6,11.0,15.2,10,0,68170.79,0.8438
Ohio,Ashtabula,98622,43017,21936,19.8,40003,26.1,18.4,84.7,2.7,8.0,30.7,9,1,61441.97,0.8283
Georgia,Thomas,44909,41336,24047,19.5,18686,35.2,18.6,79.7,2.0,0.0,25.3,11,1,81102.08,0.9346
Colorado,Custer,4505,41330,26032,15.7,1389,30.1,24.2,66.0,19.6,21.0,25.9,11,0,69594.86,0.7382
Minnesota,Norman,6589,53034,27099,12.0,3144,34.1,18.2,79.1,7.1,0.0,19.4,11,0,65625.71,0.9309000000000001
California,San Francisco,864263,96265,59508,11.7,504914,55.0,16.5,34.3,6.7,68.0,11.4,0,0,142391.32,0.6846
Virginia,Manassas Park city,16117,79131,29641,10.3,8326,36.7,15.4,70.9,5.0,11.0,16.5,3,0,103719.43,0.9376000000000001
Oklahoma,Pushmataha,11132,35414,22596,20.3,4237,29.5,18.1,78.0,2.9,11.0,28.7,11,1,69739.16,0.7243999999999999
Alabama,Hale,14995,34679,20269,26.1,5252,27.6,18.3,90.4,1.9,17.0,37.7,10,1,65660.72,0.8094
Michigan,Barry,59607,57312,27166,9.3,27877,29.0,16.4,84.8,4.2,28.0,12.4,7,1,60055.84,0.831
West Virginia,Doddridge,8570,44437,21164,14.9,2843,25.4,18.5,77.2,2.6,13.0,13.6,11,1,75977.78,0.895
Washington,Walla Walla,59862,52630,26651,14.4,26496,36.0,20.6,71.6,5.2,34.0,17.5,2,0,76808.77,0.9289000000000001
Arkansas,Crittenden,49278,38558,20721,23.5,20282,29.4,18.4,82.1,3.4,11.0,37.0,8,1,67107.59,0.8538
North Carolina,Surry,72315,39071,22533,17.6,30352,30.2,16.7,85.5,3.0,11.0,24.8,10,0,68823.24,0.9376000000000001
Illinois,DuPage,931826,84442,42050,6.8,486850,45.5,13.0,77.4,6.0,14.0,9.0,3,0,95134.66,0.802
Iowa,Tama,17236,56110,27074,11.8,8479,28.6,17.8,78.8,3.9,14.0,19.9,9,1,63997.22,0.8771
Texas,Milam,24479,41768,22911,16.0,9527,28.9,17.8,80.8,4.7,20.0,25.5,9,1,62290.95,0.7533
Alabama,Monroe,21745,26036,17264,33.7,6154,28.7,18.5,91.1,2.7,36.0,43.5,9,1,59040.92,0.8842
Idaho,Payette,22839,48447,23361,15.5,9679,23.8,18.0,77.5,3.0,11.0,18.1,7,1,72153.78,0.8817
California,Placer,374985,80488,39734,8.2,170791,44.0,16.6,79.5,8.3,19.0,8.3,6,0,102424.41,0.6846
Minnesota,Wilkin,6398,52917,28575,9.9,3286,37.6,14.7,79.1,6.3,14.0,9.9,7,0,65993.67,0.9309000000000001
Colorado,Clear Creek,9257,68534,41257,6.8,5248,37.5,17.8,66.3,14.9,23.0,7.7,10,0,82771.12,0.7382
Virginia,Southampton,18089,53681,25784,11.7,7887,29.4,20.4,85.3,3.6,12.0,15.7,9,0,69380.67,0.9376000000000001
Pennsylvania,Venango,52880,46487,25190,13.6,22971,28.9,19.7,79.9,3.7,14.0,20.9,8,0,61654.51,0.8438
Iowa,Poweshiek,18428,51456,27679,10.7,9622,32.4,18.3,72.3,4.2,20.0,11.7,11,1,65630.84,0.8771
Missouri,Dent,15566,38829,20908,20.8,5930,28.0,21.5,80.7,3.4,18.0,27.8,8,1,65067.46,0.831
Nevada,Nye,43296,44225,23740,17.3,14551,24.3,23.2,72.9,5.1,18.0,26.7,11,0,65526.69,0.8120999999999999
Washington,Clallam,73439,48002,28857,17.1,28027,30.2,23.3,77.9,5.6,28.0,29.1,8,0,74550.62,0.9289000000000001
Ohio,Defiance,38311,55295,26941,11.0,18654,25.9,16.1,86.8,2.6,14.0,16.4,10,1,62097.74,0.8283
South Carolina,Aiken,165707,47713,26222,16.7,70753,34.0,16.9,84.6,2.9,40.0,26.6,9,1,61225.61,0.8745999999999999
Kentucky,Trimble,8697,50998,26542,15.2,3856,24.7,16.7,82.1,4.9,2.0,25.1,10,1,68873.61,0.8538
Wisconsin,Kewaunee,20378,60320,28767,9.2,10520,31.2,12.5,82.0,4.9,8.0,11.1,7,0,74519.0,0.8789
Texas,Kerr,50761,48698,28484,13.8,21475,30.3,24.1,78.8,4.5,20.0,23.3,8,1,63563.34,0.7533
Alaska,Kenai Peninsula Borough,57961,65279,33336,11.0,25564,32.9,18.4,68.3,7.4,16.0,14.4,8,1,85686.17,0.8786
Alabama,Sumter,13084,21663,14739,36.0,4353,25.5,26.9,87.4,1.8,56.0,47.4,7,0,61050.24,0.833
North Dakota,Cavalier,3817,65505,43144,8.6,1927,39.4,10.8,83.1,7.6,9.0,12.7,11,1,66111.74,0.9523999999999999
Florida,Osceola,325168,47343,20165,17.8,146390,24.8,25.9,81.4,3.5,11.0,26.7,8,1,65100.93,0.8771
Alaska,Dillingham Census Area,4974,58708,24647,16.6,1989,42.8,13.9,37.3,6.1,24.0,24.2,11,1,84669.68,0.8786
Wisconsin,Waupaca,51651,54071,29423,11.0,26033,26.6,18.7,83.3,4.4,22.0,17.3,7,0,68886.81,0.8789
Tennessee,Sequatchie,14654,51312,22744,14.4,5947,30.3,18.2,83.7,4.6,25.0,19.9,9,1,63728.2,0.8490000000000001
Alaska,Anchorage Municipality,298225,82271,38977,8.1,152751,40.0,17.4,75.8,3.8,64.0,11.5,6,1,90532.51,0.8786
Arkansas,Union,40022,41106,23463,20.1,15544,33.4,13.4,89.4,1.7,1.0,30.1,10,1,71808.88,0.8453
Indiana,Bartholomew,81024,57331,29955,12.4,39722,40.7,14.4,85.1,2.7,31.0,18.2,2,1,75883.49,0.8453
